Occupation (O*NET-SOC Title),Cap,Read,CI,WEI,PEI,CI_normalized,WEI_normalized,PEI_normalized,EE,AIPS,Cap_norm,Read_norm,Industry Group,Cap_VN,Read_VN,WFI_VN,Recommendation,Quadrant,WTRS,Transformation_Strategy,wfi
Payroll and Timekeeping Clerks,3.8925447525868377,0.5182809970864357,17.588096775565194,610934.8989185041,221369.02007961343,1.0,0.0766931956743273,0.4046864811109592,0.4937932255950955,0.9961942426375092,0.9999999999999998,0.8524071713313246,43,0.4999999999999999,0.5114443027987947,-0.0114443027987948,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0728803389430094,Review Manually,1.8751127770125582
Travel Agents,3.76180935033394,0.3661768006444921,16.767742705592656,222511.02307225252,198209.7346690953,0.9299662435911688,0.0270569922336627,0.3329696043985601,0.4299976134077972,0.592316256891642,0.9446466300034236,0.4344856596568676,41,0.4723233150017117,0.2606913957941205,0.2116319192075912,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.2297095478598897,Review Manually,2.3843220377941226
Tax Preparers,3.5159776655343475,0.5427934940545028,15.766057496687257,258670.47685336196,206950.4453933517,0.8444522192368328,0.0316777638076863,0.3600367812254212,0.4120555880899801,0.7863874055416301,0.8405614933755443,0.919757711470566,13,0.4202807466877721,0.5518546268823395,-0.1315738801945674,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0277925634234231,Deploy AI,1.607527863441365
Proofreaders and Copy Markers,3.4876630504302484,0.3016069520935104,15.278015727384744,17996.341340220082,183904.472649187,0.8027880163764615,0.0009223157106569,0.2886707974865649,0.3641270431912278,0.3830264829829364,0.8285730851926101,0.2570735346382329,43,0.414286542596305,0.1542441207829397,0.2600424218133653,Reskill Workforce + Human-in-the-loop,Q2: Reskill Workforce,0.2241452737793855,Reskill Workforce,2.435759627860826
"Bookkeeping, Accounting, and Auditing Clerks",3.4629284295950966,0.413121989121989,15.17781160524298,5041227.3199516535,180141.53690753694,0.7942335746565928,0.6428347476912777,0.2770181927590445,0.5713621717023051,0.8173975112035137,0.8181004466018427,0.5634722661627987,43,0.4090502233009213,0.3380833596976791,0.0709668636032421,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.2040468779558442,Review Manually,2.0323165485736845
Telemarketers,3.334845488324452,0.38741800420603,14.916441142292532,221533.78578939333,121188.28504571058,0.7719203369891697,0.0269321122981126,0.0944588857413318,0.297770445009538,0.3847132163906711,0.7638701285990033,0.4928479935692726,41,0.3819350642995016,0.2957087961415636,0.086226268157938,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1153557547689007,Review Manually,2.0428663049023092
Online Merchants,3.2698405466970386,0.3980131228764486,13.87396002370502,239286.93120728928,254916.76902050112,0.6829235593875084,0.0292007646453828,0.5085730964414765,0.4068991401581225,0.5295545920737936,0.736347035974501,0.5219591431278692,13,0.3681735179872505,0.3131754858767215,0.054998032110529,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1432301119246732,Review Manually,1.9684010993981165
Data Entry Keyers,3.252651168466655,0.5455859984484367,14.886593212652524,440018.65007016907,136839.0346573922,0.7693722145256751,0.0548520210537711,0.1429242360516584,0.3223828238770349,0.5721008607937195,0.7290690531419939,0.9274303969386216,43,0.3645345265709969,0.556458238163173,-0.191923711592176,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0170567116187312,Deploy AI,1.4780502331143008
Credit Analysts,3.2504123026715237,0.4176299711596842,14.964279115346804,218980.27683098053,318670.4221539161,0.7760042722978436,0.0266058025678695,0.7059977060823961,0.5028692603160364,0.6826297317535606,0.7281211173526436,0.5758583982476813,13,0.3640605586763218,0.3455150389486087,0.018545519727713,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1552993319893844,Review Manually,1.8929427064497322
"Court, Municipal, and License Clerks",3.2252156150064093,0.3643601284814673,14.419401478757822,548318.9067072397,165131.03948832816,0.7294879824782906,0.0686915759972001,0.2305354980764067,0.3429050188506324,0.4029613955758349,0.7174528396636575,0.4294941709645878,43,0.3587264198318287,0.2576965025787527,0.101029917253076,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1403548054587396,Review Manually,2.0500756391422397
"Securities, Commodities, and Financial Services Sales Agents",3.115335293200596,0.387557738135008,13.270586602536156,1471372.8589786417,343933.0163693458,0.6314134752074932,0.1866474911989432,0.7842278553580941,0.5340962739215102,0.644853046540523,0.6709295108372817,0.4932319265323119,41,0.3354647554186408,0.2959391559193872,0.0395255994992536,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1815957537893651,Review Manually,1.907962993435611
"Eligibility Interviewers, Government Programs",3.02085438079821,0.3881916408246055,13.26155073170414,472038.70554352825,163035.51093167937,0.6306420814886663,0.0589438240723016,0.2240463184458367,0.3045440746689349,0.3571298275772377,0.6309262920327325,0.49497363765198,43,0.3154631460163662,0.296984182591188,0.0184789634251782,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0970382216044319,Review Manually,1.8481839620239549
Search Marketing Strategists,2.993473193898208,0.4284284284284283,12.50796196504626,219062.3683294709,233371.1701963043,0.5663080895596492,0.0266162929382438,0.4418532893671198,0.3449258906216709,0.4423636660578409,0.6193330973562874,0.6055282409678202,13,0.3096665486781437,0.3633169445806921,-0.0536503959025484,Deploy AI,Q1: Deploy AI Now,0.0842686430186741,Review Manually,1.7109841778937709
Management Analysts,2.9919377137451795,0.3406431910790948,12.913203172524195,2674493.122316816,343205.1751437095,0.6009035953907843,0.3403927315617621,0.7819739645959272,0.5744234305161579,0.5854427159965135,0.6186829750514768,0.3643295104006618,13,0.3093414875257384,0.2185977062403971,0.0907437812853413,Reskill Workforce,Q2: Reskill Workforce,0.2259083906658852,Reskill Workforce,1.9727545034251304
Compliance Officers,2.940119764164297,0.4880296610169491,12.601353309208177,1169491.4385916323,249851.37755868197,0.5742809233482934,0.1480704403813525,0.4928872042160481,0.4050795226485646,0.5812346933179754,0.5967432549283382,0.7692885960646823,13,0.2983716274641691,0.4615731576388093,-0.1632015301746402,Deploy AI,Q1: Deploy AI Now,0.0557695153423919,Review Manually,1.5052541123099623
Customer Service Representatives,2.874686266405497,0.3014355870237588,11.5377010944658,7836193.534182736,130453.26276948144,0.4834767659270046,1.0,0.1231495492648715,0.5355421050639587,0.4640647688769921,0.5690387116355689,0.2566026919483265,43,0.2845193558177844,0.1539616151689959,0.1305577406487885,Reskill Workforce,Q2: Reskill Workforce,0.2265460101128872,Reskill Workforce,2.0081535241824184
Loan Officers,2.8678365771428704,0.3764663684160632,11.933386646000056,833192.5607573182,246691.3023658297,0.5172565039023055,0.1050952255321535,0.483101465192133,0.368484398208864,0.397831977508225,0.5661385531660039,0.4627572775225395,13,0.2830692765830019,0.2776543665135236,0.0054149100694783,Deploy AI,Q1: Deploy AI Now,0.1120759364421321,Review Manually,1.788192555735141
Public Safety Telecommunicators,2.845774052582564,0.5719979941256537,13.175933863457267,287821.5876782005,155948.4180815245,0.6233329559357338,0.035402947961906,0.2020998656441001,0.2869452565139133,0.4670829031057822,0.5567972801519596,1.0,43,0.2783986400759798,0.6,-0.3216013599240201,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0,Deploy AI,1.2179970027705047
Quality Control Systems Managers,2.8340897761826427,0.3644251698984763,11.618611311011618,207398.6898210458,220945.6389511988,0.4903840838814888,0.0251258059849138,0.4033754055898174,0.3062950984854067,0.3163457580903147,0.5518501574632177,0.4296728787711683,11,0.2759250787316089,0.257803727262701,0.0181213514689078,Deploy AI,Q1: Deploy AI Now,0.0964018220213902,Review Manually,1.8012761279897485
Credit Counselors,2.759177045290776,0.4047071539736319,12.713076478680009,77560.46674312369,154210.40506130143,0.5838187479564835,0.0085339411284364,0.1967177969279698,0.26302349533763,0.293707471561191,0.5201321068124074,0.5403516639180403,13,0.2600660534062037,0.3242109983508242,-0.0641449449446204,Deploy AI,Q1: Deploy AI Now,0.0628830937214708,Review Manually,1.6425183559817707
Insurance Claims and Policy Processing Clerks,2.7123773365276587,0.3617091824841449,11.893426879989612,621324.2764783908,140989.37395270768,0.513845132372177,0.0780208412961648,0.1557765052940239,0.2492141596541219,0.2445019657351921,0.5003171098777159,0.4222104313670994,43,0.2501585549388579,0.2533262588202596,-0.0031677038814016,Reskill Workforce,Q2: Reskill Workforce,0.0720423326128942,Review Manually,1.7312855475437168
Treasurers and Controllers,2.6948520368978426,0.2806389490697754,11.490707251014667,197209.27206018413,210090.66479655585,0.479464894095758,0.0238237129768098,0.369761033239138,0.2910165467705686,0.2200901230672489,0.4928968979229347,0.1994618465621668,11,0.2464484489614673,0.1196771079373,0.1267713410241672,Reskill Workforce,Q2: Reskill Workforce,0.1148301158676593,Review Manually,1.9385715933642884
Desktop Publishers,2.6947096059790367,0.3985827148391915,11.564479111856516,10778.838423916148,162356.25376023696,0.4857628094973321,0.0,0.2219428769122639,0.2359018954698653,0.2533738916174028,0.4928365926711686,0.5235241540853284,43,0.2464182963355843,0.314114492451197,-0.0676961961156126,Deploy AI,Q1: Deploy AI Now,0.0553955994741699,Review Manually,1.6206449355246642
Reservation and Transportation Ticket Agents and Travel Clerks,2.6724817151755365,0.3446316310688147,11.721997102023227,340581.06978197035,127530.8274481766,0.4992101451748566,0.0421450164854265,0.1140997046810316,0.2184849554471049,0.2012293921916303,0.4834253035888927,0.3752881486809857,43,0.2417126517944463,0.2251728892085914,0.0165397625858549,Reskill Workforce,Q2: Reskill Workforce,0.0659827878511274,Review Manually,1.751459982673008
Purchasing Managers,2.6648377047532907,0.3162033547717147,11.126839490647026,216491.41513415732,401404.50346698816,0.4484014459733301,0.0262877540306882,0.962198612296386,0.4789626041001348,0.4035885570867354,0.4801888295361969,0.2971786127030092,11,0.2400944147680984,0.1783071676218055,0.0617872471462928,Reskill Workforce,Q2: Reskill Workforce,0.1616436424741668,Reskill Workforce,1.822207082588144
Accountants and Auditors,2.636774734482697,0.2549347954949614,10.877107775793387,3818814.480203945,246591.1731688218,0.4270818100675743,0.4866241330116204,0.482791397193495,0.4654991134242299,0.3129111237338856,0.4683069677770828,0.1288371105615471,13,0.2341534838885414,0.0773022663369282,0.1568512175516131,Reskill Workforce,Q2: Reskill Workforce,0.189910441932488,Reskill Workforce,1.9645691067810693
Medical and Health Services Managers,2.4915321600888607,0.3465574126141136,10.111468016360629,1409808.5574646809,343158.7244090388,0.3617190229836691,0.1787802657664908,0.781830121573462,0.440776470107874,0.3805923831472995,0.4068112610202765,0.3805794263274461,11,0.2034056305101382,0.2283476557964676,-0.0249420252863293,Human-Centric,Q4: Human-Centric,0.1110700570367464,Review Manually,1.6280732212436118
Cost Estimators,2.4405612468260207,0.2080440166610378,9.865968840294189,535776.4105157163,202957.0732860519,0.3407607195820885,0.0670887860264243,0.3476705890044866,0.2518400315376665,0.1278703064503475,0.3852301760786203,0.0,13,0.1926150880393101,0.0,0.1926150880393101,Human-Centric,Q4: Human-Centric,0.0970163796929005,Review Manually,1.9328170821290647
Fundraisers,2.4310270082802274,0.3888628777040794,9.628461068860704,257518.6909871245,177781.00511553304,0.3204846436551004,0.031530578526009,0.2697083831296871,0.2072412017702655,0.1959126015056086,0.3811933794285436,0.4968179281970373,13,0.1905966897142718,0.2980907569182223,-0.1074940672039505,Human-Centric,Q3: Prepare & Wait,0.0397508674376382,Review Manually,1.4856908500640391
Appraisers and Assessors of Real Estate,2.419510060660353,0.4337944392335819,10.56811750620684,177059.74623912462,188625.00432908116,0.4007032619930242,0.0212488301617201,0.3032887696088908,0.2417469539212117,0.2537303528407283,0.3763171037461474,0.6202718930156268,13,0.1881585518730737,0.372163135809376,-0.1840045839363023,Human-Centric,Q3: Prepare & Wait,0.0345452000819135,Review Manually,1.3699400506761854
Budget Analysts,2.39418312019984,0.3974953031477639,9.993149330634116,112933.61777982644,224861.67864916896,0.3516181381120173,0.0130542320538329,0.4155021241496497,0.2600581647718333,0.2474912557894327,0.3655936770229089,0.5205363815680373,13,0.1827968385114544,0.3123218289408223,-0.1295249904293678,Human-Centric,Q3: Prepare & Wait,0.0455853011248942,Review Manually,1.4425065750447452
Medical Secretaries and Administrative Assistants,2.382420571997759,0.3947169883748055,10.412369109916208,1979219.7143928583,108590.72967165786,0.3874069968239499,0.2515446084966958,0.0554482984272585,0.2314666345826347,0.2176670274170105,0.3606134140527242,0.5129026835045822,43,0.1803067070263621,0.3077416101027493,-0.1274349030763872,Human-Centric,Q3: Prepare & Wait,0.040658000019977,Review Manually,1.4420386987766218
Supply Chain Managers,2.347739186293403,0.3731064673835758,9.382953088856704,171807.55365295123,183029.7469634337,0.2995255886599811,0.0205776590110053,0.285962052676423,0.2020217667824698,0.1769623149338352,0.3459293151643937,0.4535256129700784,11,0.1729646575821968,0.272115367782047,-0.0991507101998501,Human-Centric,Q3: Prepare & Wait,0.0381904999383847,Review Manually,1.4717825121574808
Biofuels Production Managers,2.331234968235051,0.4010023742874827,9.209349472431883,170599.77497544105,181743.0781236046,0.2847050205304233,0.0204233184776959,0.2819776520820159,0.1957019970300451,0.182948246085639,0.3389414291523025,0.5301724107279595,11,0.1694707145761512,0.3181034464367757,-0.1486327318606244,Human-Centric,Q3: Prepare & Wait,0.0311643755791097,Review Manually,1.3964042109507915
Personal Financial Advisors,2.32177210579037,0.3519938141513484,9.700363857992166,627992.9191741793,371971.1090686752,0.3266229961098117,0.0788730188426663,0.8710528329740006,0.4255162826421595,0.3477529348100281,0.3349348531438095,0.395516483960683,13,0.1674674265719047,0.2373098903764098,-0.069842463804505,Human-Centric,Q4: Human-Centric,0.0861511319356697,Review Manually,1.5045226866830097
Sustainability Specialists,2.3215618605652963,0.3044281224693594,9.311283893698654,169891.89695616838,180988.9626496705,0.2934071781596421,0.0203328596270415,0.2796423984024495,0.1977941453963777,0.1397907587675679,0.3348458353144155,0.2648249827622565,13,0.1674229176572077,0.1588949896573539,0.0085279279998538,Human-Centric,Q4: Human-Centric,0.0486910426763163,Review Manually,1.6148131421569303
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",2.3187581394911163,0.3131456074977415,9.289677346213884,169686.72064795988,180770.38455472744,0.2915626237912644,0.0203066404020949,0.2789655321689194,0.1969449321207596,0.1430034731888968,0.3336587397969667,0.2887771458602121,13,0.1668293698984833,0.1732662875161272,-0.0064369176176438,Human-Centric,Q4: Human-Centric,0.0467361591589358,Review Manually,1.5926492132598378
Logistics Analysts,2.2930883260711683,0.2997039079520696,9.38637488138465,167808.2037018881,178769.1659005083,0.299817707628065,0.0200665870606292,0.2727684000486854,0.1975508982457932,0.135766367382888,0.322790140660913,0.2518447302858315,13,0.1613950703304565,0.1511068381714989,0.0102882321589576,Human-Centric,Q4: Human-Centric,0.0477079778686115,Review Manually,1.6058407934683696
Financial Managers,2.291857794379124,0.2645048365569186,8.754447390647004,1876160.6276346385,413611.5761516005,0.2458699580230123,0.2383748161259381,1.0,0.4947482580496502,0.2999200904492601,0.3222691335360756,0.155131756738034,11,0.1611345667680378,0.0930790540428204,0.0680555127252174,Human-Centric,Q4: Human-Centric,0.134707560541916,Review Manually,1.685650323065174
Financial Examiners,2.265751139210085,0.3585242030150939,9.48918155683462,142357.14407656965,234845.1055791253,0.3085943297345488,0.0168142278420037,0.4464175943643634,0.2572753839803053,0.2089916434421835,0.3112155756011757,0.4134593813270966,13,0.1556077878005878,0.2480756287962579,-0.09246784099567,Human-Centric,Q4: Human-Centric,0.0469631968476716,Review Manually,1.4534245177942482
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2.259807714929085,0.2922922128117228,8.6475308557953,664225.281649106,258793.17951367883,0.2367424765708495,0.0835031073278891,0.5205770960683225,0.2802742266556871,0.1851279086488629,0.3086991297295639,0.2314803556690783,41,0.1543495648647819,0.138888213401447,0.0154613514633349,Human-Centric,Q4: Human-Centric,0.0664926346085439,Review Manually,1.5992835174034596
Human Resources Specialists,2.256789471005727,0.2870311649774708,9.415777030930094,2070514.068068914,179933.8245232866,0.3023277737745407,0.2632110002759756,0.2763749741454791,0.2806379160653318,0.1817885172669971,0.3074212052366527,0.2170250998949782,13,0.1537106026183263,0.1302150599369869,0.0234955426813394,Human-Centric,Q4: Human-Centric,0.0675504128553593,Review Manually,1.6090205600340628
Legal Secretaries and Administrative Assistants,2.2510459154422,0.3131728422363096,9.047473006296531,347876.6357724375,135783.08961947347,0.2708856010716703,0.0430773077791289,0.1396543130485465,0.1512057406331153,0.1065949737920653,0.3049893837810623,0.2888519760317567,43,0.1524946918905311,0.173311185619054,-0.0208164937285228,Human-Centric,Q4: Human-Centric,0.0327954058590361,Review Manually,1.5460794680987304
Training and Development Specialists,2.239272879081106,0.4114976042525579,9.170755470203412,977688.9317356016,165168.76756102237,0.281410244469885,0.1235602368569331,0.2306523298132262,0.2118742703800148,0.195232695861616,0.3000046801242966,0.5590091060656155,13,0.1500023400621483,0.3354054636393693,-0.185403123577221,Human-Centric,Q3: Prepare & Wait,0.0280308244546269,Review Manually,1.317817454071503
Human Resources Managers,2.196070146635118,0.321132720073398,8.375811539266339,473297.0380028007,352425.33713200374,0.2135457556403367,0.0591046248104343,0.8105258481649484,0.3610587428719065,0.2546294498919526,0.2817126429810609,0.3107225375036734,11,0.1408563214905304,0.186433522502204,-0.0455772010116735,Human-Centric,Q4: Human-Centric,0.0701097280139726,Review Manually,1.4908401669741966
Financial Quantitative Analysts,2.080398979355139,0.3587659475759685,8.065013376633422,152243.59730920906,162187.90443052663,0.1870128674511251,0.0180776053902885,0.2214215530497423,0.142170675297052,0.1061128241839687,0.2327374701506837,0.4141235987167748,13,0.1163687350753418,0.2484741592300648,-0.132105424154723,Human-Centric,Q4: Human-Centric,0.0193857380836428,Review Manually,1.3340226681907146
Clinical Research Coordinators,2.002976266496381,0.3126202905491698,8.060699375034005,146577.80318220516,156152.02973605786,0.1866445804538156,0.0173535806136751,0.2027303856133711,0.1355761822269539,0.0848938766374883,0.1999566931219845,0.287333784937957,11,0.0999783465609922,0.1724002709627742,-0.0724219244017819,Human-Centric,Q4: Human-Centric,0.0193199285930423,Review Manually,1.3768052441011909
Advertising and Promotions Managers,1.98579070847431,0.3212596573124174,7.363589034098342,41900.18394880794,296418.97905396024,0.1271321606412341,0.0039769579932624,0.6370921257423505,0.256067081458949,0.1633591321943975,0.1926803277656968,0.3110713102795712,11,0.0963401638828484,0.1866427861677427,-0.0903026222848943,Human-Centric,Q4: Human-Centric,0.0339911140645767,Review Manually,1.3478362659756706
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.9035474503963088,0.2264149872322573,7.393219668385065,3308022.830247714,90685.00053688016,0.1296617325661286,0.4213507040861134,0.0,0.183670812217414,0.0791605903959431,0.1578585318659974,0.0504760813419206,43,0.0789292659329987,0.0302856488051523,0.0486436171278463,Human-Centric,Q4: Human-Centric,0.0275305010204171,Review Manually,1.4725557787188328
Regulatory Affairs Managers,1.838416908839836,0.4230035312626668,7.731199679138952,134535.34938889917,143322.9822131536,0.1585151394188358,0.0158146904383298,0.163002941384035,0.1124442570804002,0.0874430461289257,0.1302822602308752,0.5906227927472716,11,0.0651411301154376,0.3543736756483629,-0.2892325455329253,Human-Centric,Q3: Prepare & Wait,0.0059971681072452,Review Manually,1.060760064467589
"Production, Planning, and Expediting Clerks",1.6932159952556447,0.3015030852430776,6.473065148921432,651888.1581734233,102304.11043334604,0.0511079960353175,0.0819265616807467,0.0359806555850903,0.0563384044337182,0.0287613102024704,0.0688041926610903,0.2567881500652812,43,0.0344020963305451,0.1540728900391687,-0.1196707937086235,Human-Centric,Q4: Human-Centric,0.0028809257934338,Review Manually,1.1827061487031396
Computer and Information Systems Managers,1.5307119994774314,0.3371047749689725,5.87440166568685,988794.0303024364,287758.5487817623,0.0,0.1249793435750542,0.6102735517191007,0.245084298431385,0.1264660282718079,0.0,0.3546073577956217,11,0.0,0.212764414677373,-0.212764414677373,Human-Centric,Q4: Human-Centric,0.0,Review Manually,1.0147016753512859
